,data_loss,physic_loss,
326,0.061931491,1.68E-12,10.56641202
327,0.061929535,1.74E-12,10.55190082
328,0.061927598,1.68E-12,10.56621571
329,0.061925642,1.76E-12,10.54693753
330,0.061923683,1.82E-12,10.53269695
331,0.061921708,1.86E-12,10.52244189
332,0.061919738,1.99E-12,10.49194402
333,0.061917759,2.01E-12,10.48930891
334,0.061915774,2.00E-12,10.49035329
335,0.061913781,2.14E-12,10.46050008
336,0.061911777,2.27E-12,10.43577704
337,0.06190978,2.26E-12,10.43683759
338,0.061907768,2.36E-12,10.41969088
339,0.061905749,2.43E-12,10.40629658
340,0.061903719,2.54E-12,10.38671616
341,0.061901692,2.58E-12,10.38070173
342,0.061899655,2.65E-12,10.36843617
343,0.061897609,2.64E-12,10.36937894
344,0.061895557,2.81E-12,10.34342705
345,0.061893508,2.69E-12,10.3612831
346,0.061891437,2.75E-12,10.35295938
347,0.061889369,2.85E-12,10.33723326
348,0.061887298,2.86E-12,10.33517553
349,0.061885215,2.92E-12,10.3263897
350,0.061883118,3.08E-12,10.30248816
351,0.061881017,3.13E-12,10.29551482
352,0.06187892,3.16E-12,10.29174577
353,0.0618768,3.20E-12,10.28663086
354,0.061874688,3.21E-12,10.28514062
355,0.061872557,3.33E-12,10.26849855
356,0.061870433,3.44E-12,10.25465701
357,0.061868295,3.50E-12,10.24786123
358,0.061866146,3.59E-12,10.23686591
359,0.061863985,3.63E-12,10.2321165
360,0.061861824,3.86E-12,10.2047879
361,0.061859667,3.92E-12,10.19803141
362,0.061857488,4.03E-12,10.18564274
363,0.061855305,4.12E-12,10.17671204
364,0.061853115,4.18E-12,10.17053796
365,0.06185092,4.21E-12,10.16701182
366,0.061848715,4.30E-12,10.15818823
367,0.061846498,4.43E-12,10.14463464
368,0.061844286,4.46E-12,10.14148292
369,0.061842058,4.63E-12,10.12603046
370,0.061839823,4.77E-12,10.11298368
371,0.061837588,4.71E-12,10.11829776
372,0.061835334,4.87E-12,10.10361759
373,0.061833072,4.92E-12,10.0988378
374,0.061830815,5.03E-12,10.08932213
375,0.061828543,5.20E-12,10.07541988
376,0.061826251,5.25E-12,10.07136583
377,0.061823968,5.44E-12,10.0557039
378,0.061821666,5.51E-12,10.05028016
379,0.061819371,5.46E-12,10.05414803
380,0.061817057,5.50E-12,10.05044458
381,0.061814733,5.71E-12,10.03446943
382,0.061812405,5.74E-12,10.03184738
383,0.061810073,5.83E-12,10.0252215
384,0.061807718,5.89E-12,10.02065896
385,0.061805371,6.11E-12,10.00531734
386,0.061803017,6.24E-12,9.995848701
387,0.06180064,6.34E-12,9.988967433
388,0.061798267,6.45E-12,9.981514545
389,0.061795879,6.62E-12,9.969867799
390,0.061793484,6.76E-12,9.960856524
391,0.061791077,6.77E-12,9.9605882
392,0.061788667,6.93E-12,9.950460297
393,0.061786242,7.05E-12,9.942476206
394,0.061783813,7.15E-12,9.936736009
395,0.061781373,7.40E-12,9.921618359
396,0.061778929,7.31E-12,9.926899305
397,0.061776474,7.38E-12,9.922706617
398,0.061774015,7.41E-12,9.9207121
399,0.061771534,7.63E-12,9.908491114
400,0.061769053,7.69E-12,9.905031883
